Signal Legend:

Key        Signal Name

0        = waveform_gen:waveform_gen_inst|en
1        = waveform_gen:waveform_gen_inst|reset
2        = waveform_gen:waveform_gen_inst|phase_inc[31..0]
3        = waveform_gen:waveform_gen_inst|cos_out[11..0]
4        = waveform_gen:waveform_gen_inst|saw_out[11..0]
5        = waveform_gen:waveform_gen_inst|sin_out[11..0]
6        = waveform_gen:waveform_gen_inst|squ_out[11..0]

Data Table:

Signals-> 0 1 2         3    4    5    6    

sample

-731      1 1 00000102h 44Ah D71h 940h 7FFh 
-730      1 1 00000102h 44Ah D71h 940h 7FFh 
-729      1 1 00000102h 44Ah D71h 940h 7FFh 
-728      1 1 00000102h 44Ah D71h 940h 7FFh 
-727      1 1 00000102h 44Ah D71h 940h 7FFh 
-726      1 1 00000102h 44Ah D71h 940h 7FFh 
-725      1 1 00000102h 44Ah D71h 940h 7FFh 
-724      1 1 00000102h 44Ah D71h 940h 7FFh 
-723      1 1 00000102h 44Ah D71h 940h 7FFh 
-722      1 1 00000102h 44Ah D71h 940h 7FFh 
-721      1 1 00000102h 44Ah D71h 940h 7FFh 
-720      1 1 00000102h 44Ah D71h 940h 7FFh 
-719      1 1 00000102h 44Ah D71h 940h 7FFh 
-718      1 1 00000102h 44Ah D71h 940h 7FFh 
-717      1 1 00000102h 44Ah D71h 940h 7FFh 
-716      1 1 00000102h 44Ah D71h 940h 7FFh 
-715      1 1 00000102h 44Ah D71h 940h 7FFh 
-714      1 1 00000102h 44Ah D71h 940h 7FFh 
-713      1 1 00000102h 44Ah D71h 940h 7FFh 
-712      1 1 00000102h 44Ah D71h 940h 7FFh 
-711      1 1 00000102h 44Ah D71h 940h 7FFh 
-710      1 1 00000102h 44Ah D71h 940h 7FFh 
-709      1 1 00000102h 44Ah D71h 940h 7FFh 
-708      1 1 00000102h 44Ah D71h 940h 7FFh 
-707      1 1 00000102h 44Ah D71h 940h 7FFh 
-706      1 1 00000102h 44Ah D71h 940h 7FFh 
-705      1 1 00000102h 44Ah D71h 940h 7FFh 
-704      1 1 00000102h 44Ah D71h 940h 7FFh 
-703      1 1 00000102h 44Ah D71h 940h 7FFh 
-702      1 1 00000102h 44Ah D71h 940h 7FFh 
-701      1 1 00000102h 44Ah D71h 940h 7FFh 
-700      1 1 00000102h 44Ah D71h 940h 7FFh 
-699      1 1 00000102h 44Ah D71h 940h 7FFh 
-698      1 1 00000102h 44Ah D71h 940h 7FFh 
-697      1 1 00000102h 44Ah D71h 940h 7FFh 
-696      1 1 00000102h 44Ah D71h 940h 7FFh 
-695      1 1 00000102h 44Ah D71h 940h 7FFh 
-694      1 1 00000102h 44Ah D71h 940h 7FFh 
-693      1 1 00000102h 44Ah D71h 940h 7FFh 
-692      1 1 00000102h 44Ah D71h 940h 7FFh 
-691      1 1 00000102h 44Ah D71h 940h 7FFh 
-690      1 1 00000102h 44Ah D71h 940h 7FFh 
-689      1 1 00000102h 44Ah D71h 940h 7FFh 
-688      1 1 00000102h 44Ah D71h 940h 7FFh 
-687      1 1 00000102h 44Ah D71h 940h 7FFh 
-686      1 1 00000102h 44Ah D71h 940h 7FFh 
-685      1 1 00000102h 44Ah D71h 940h 7FFh 
-684      1 1 00000102h 44Ah D71h 940h 7FFh 
-683      1 1 00000102h 44Ah D71h 940h 7FFh 
-682      1 1 00000102h 44Ah D71h 940h 7FFh 
-681      1 1 00000102h 44Ah D71h 940h 7FFh 
-680      1 1 00000102h 44Ah D71h 940h 7FFh 
-679      1 1 00000102h 44Ah D71h 940h 7FFh 
-678      1 1 00000102h 44Ah D71h 940h 7FFh 
-677      1 1 00000102h 44Ah D71h 940h 7FFh 
-676      1 1 00000102h 44Ah D71h 940h 7FFh 
-675      1 1 00000102h 44Ah D71h 940h 7FFh 
-674      1 1 00000102h 44Ah D71h 940h 7FFh 
-673      1 1 00000102h 44Ah D71h 940h 7FFh 
-672      1 1 00000102h 44Ah D71h 940h 7FFh 
-671      1 1 00000102h 44Ah D71h 940h 7FFh 
-670      1 1 00000102h 44Ah D71h 940h 7FFh 
-669      1 1 00000102h 44Ah D71h 940h 7FFh 
-668      1 1 00000102h 44Ah D71h 940h 7FFh 
-667      1 1 00000102h 44Ah D71h 940h 7FFh 
-666      1 1 00000102h 44Ah D71h 940h 7FFh 
-665      1 1 00000102h 44Ah D71h 940h 7FFh 
-664      1 1 00000102h 44Ah D71h 940h 7FFh 
-663      1 1 00000102h 44Ah D71h 940h 7FFh 
-662      1 1 00000102h 44Ah D71h 940h 7FFh 
-661      1 1 00000102h 44Ah D71h 940h 7FFh 
-660      1 1 00000102h 44Ah D71h 940h 7FFh 
-659      1 1 00000102h 44Ah D71h 940h 7FFh 
-658      1 1 00000102h 44Ah D71h 940h 7FFh 
-657      1 1 00000102h 44Ah D71h 940h 7FFh 
-656      1 1 00000102h 44Ah D71h 940h 7FFh 
-655      1 1 00000102h 44Ah D71h 940h 7FFh 
-654      1 1 00000102h 44Ah D71h 940h 7FFh 
-653      1 1 00000102h 44Ah D71h 940h 7FFh 
-652      1 1 00000102h 44Ah D71h 940h 7FFh 
-651      1 1 00000102h 44Ah D71h 940h 7FFh 
-650      1 1 00000102h 44Ah D71h 940h 7FFh 
-649      1 1 00000102h 44Ah D71h 940h 7FFh 
-648      1 1 00000102h 44Ah D71h 940h 7FFh 
-647      1 1 00000102h 44Ah D71h 940h 7FFh 
-646      1 1 00000102h 44Ah D71h 940h 7FFh 
-645      1 1 00000102h 44Ah D71h 940h 7FFh 
-644      1 1 00000102h 44Ah D71h 940h 7FFh 
-643      1 1 00000102h 44Ah D71h 940h 7FFh 
-642      1 1 00000102h 44Ah D71h 940h 7FFh 
-641      1 1 00000102h 44Ah D71h 940h 7FFh 
-640      1 1 00000102h 44Ah D71h 940h 7FFh 
-639      1 1 00000102h 44Ah D71h 940h 7FFh 
-638      1 1 00000102h 44Ah D71h 940h 7FFh 
-637      1 1 00000102h 44Ah D71h 940h 7FFh 
-636      1 1 00000102h 44Ah D71h 940h 7FFh 
-635      1 1 00000102h 44Ah D71h 940h 7FFh 
-634      1 1 00000102h 44Ah D71h 940h 7FFh 
-633      1 1 00000102h 44Ah D71h 940h 7FFh 
-632      1 1 00000102h 44Ah D71h 940h 7FFh 
-631      1 1 00000102h 44Ah D71h 940h 7FFh 
-630      1 1 00000102h 44Ah D71h 940h 7FFh 
-629      1 1 00000102h 44Ah D71h 940h 7FFh 
-628      1 1 00000102h 44Ah D71h 940h 7FFh 
-627      1 1 00000102h 44Ah D71h 940h 7FFh 
-626      1 1 00000102h 44Ah D71h 940h 7FFh 
-625      1 1 00000102h 44Ah D71h 940h 7FFh 
-624      1 1 00000102h 44Ah D71h 940h 7FFh 
-623      1 1 00000102h 44Ah D71h 940h 7FFh 
-622      1 1 00000102h 44Ah D71h 940h 7FFh 
-621      1 1 00000102h 44Ah D71h 940h 7FFh 
-620      1 1 00000102h 44Ah D71h 940h 7FFh 
-619      1 1 00000102h 44Ah D71h 940h 7FFh 
-618      1 1 00000102h 44Ah D71h 940h 7FFh 
-617      1 1 00000102h 44Ah D71h 940h 7FFh 
-616      1 1 00000102h 44Ah D71h 940h 7FFh 
-615      1 1 00000102h 44Ah D71h 940h 7FFh 
-614      1 1 00000102h 44Ah D71h 940h 7FFh 
-613      1 1 00000102h 44Ah D71h 940h 7FFh 
-612      1 1 00000102h 44Ah D71h 940h 7FFh 
-611      1 1 00000102h 44Ah D71h 940h 7FFh 
-610      1 1 00000102h 44Ah D71h 940h 7FFh 
-609      1 1 00000102h 44Ah D71h 940h 7FFh 
-608      1 1 00000102h 44Ah D71h 940h 7FFh 
-607      1 1 00000102h 44Ah D71h 940h 7FFh 
-606      1 1 00000102h 44Ah D71h 940h 7FFh 
-605      1 1 00000102h 44Ah D71h 940h 7FFh 
-604      1 1 00000102h 44Ah D71h 940h 7FFh 
-603      1 1 00000102h 44Ah D71h 940h 7FFh 
-602      1 1 00000102h 44Ah D71h 940h 7FFh 
-601      1 1 00000102h 44Ah D71h 940h 7FFh 
-600      1 1 00000102h 44Ah D71h 940h 7FFh 
-599      1 1 00000102h 44Ah D71h 940h 7FFh 
-598      1 1 00000102h 44Ah D71h 940h 7FFh 
-597      1 1 00000102h 44Ah D71h 940h 7FFh 
-596      1 1 00000102h 44Ah D71h 940h 7FFh 
-595      1 1 00000102h 44Ah D71h 940h 7FFh 
-594      1 1 00000102h 44Ah D71h 940h 7FFh 
-593      1 1 00000102h 44Ah D71h 940h 7FFh 
-592      1 1 00000102h 44Ah D71h 940h 7FFh 
-591      1 1 00000102h 44Ah D71h 940h 7FFh 
-590      1 1 00000102h 44Ah D71h 940h 7FFh 
-589      1 1 00000102h 44Ah D71h 940h 7FFh 
-588      1 1 00000102h 44Ah D71h 940h 7FFh 
-587      1 1 00000102h 44Ah D71h 940h 7FFh 
-586      1 1 00000102h 44Ah D71h 940h 7FFh 
